Asset,Exchange,LastPrice,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,LastDate
CELRUSDT,OkxSpot,0.01553,43.930867,0.015944,0.018249,0.026057,0.462542,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CELTUSDT,OkxSpot,0.002482,40.535413,0.002541,0.003222,0.009271,1.01003,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CELUSDT,OkxSpot,1.4453,46.977646,1.537085,1.734578,1.593123,0.693404,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CFGUSDT,OkxSpot,0.2969,35.203789,0.32814,0.351864,0.353538,0.374974,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CFXUSDT,OkxSpot,0.04236,40.148487,0.046056,0.051036,0.085562,0.426603,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CGSUSDT,OkxSpot,0.0164,43.700407,0.01668,0.018664,0.031337,0.782219,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CHATUSDT,OkxSpot,0.000998,55.202701,0.000948,0.001012,0.000976,0.49609,UP_TREND,BULLISH,HIGH,30.09.2022
CHEUSDT,OkxSpot,0.02064,41.773249,0.021096,0.023726,0.035441,0.475062,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CHZUSDT,OkxSpot,0.23809,53.203971,0.233095,0.216481,0.16976,0.183264,STRONG_UP_TREND,BULLISH,MEDIUM,30.09.2022
CITYUSDT,OkxSpot,6.6521,,,,,,,,,
CLVUSDT,OkxSpot,0.0844,44.990235,0.08507,0.093264,0.17317,0.514429,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
CMTUSDT,OkxSpot,0.00227,42.912294,0.002326,0.002516,0.003437,0.296073,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
CNTMUSDT,OkxSpot,0.1157,39.426796,0.119135,0.15724,0.207635,0.685737,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
COMPUSDT,OkxSpot,61.62,58.866059,57.9965,54.268,75.0261,0.294615,UP_TREND,BULLISH,MEDIUM,30.09.2022
CONVUSDT,OkxSpot,0.000813,40.880015,0.000825,0.000933,0.00198,0.922708,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
COVERUSDT,OkxSpot,22.26,55.388647,21.251,21.7486,20.4245,0.34718,STRONG_UP_TREND,BULLISH,HIGH,30.09.2022
CQTUSDT,OkxSpot,0.0702,51.883554,0.068255,0.070766,0.162877,0.451919,DOWN_TREND,BULLISH,HIGH,30.09.2022
